Analyze,Channel Name,Link,Channel,Subscribers,Videos,Category
FALSE,TV9 Telugu Live,https://www.youtube.com/@tv9telugulive,TV9 Telugu Live,14100000,19943,news
FALSE,V6 News Telugu,https://www.youtube.com/@v6newstelugu,V6 News Telugu,11900000,19995,news
FALSE,mallemalatv,https://www.youtube.com/@mallemalatv,mallemalatv,9650000,16102,entertainment
TRUE,Grandpa Kitchen,https://www.youtube.com/@grandpakitchen,Grandpa Kitchen,9460000,604,cooking
FALSE,SumanTV,https://www.youtube.com/@sumantvchannel,SumanTV,8800000,19669,media
FALSE,Filmymoji,https://www.youtube.com/@filmymoji,Filmymoji,5870000,475,vlogging
FALSE,iDream Media,https://www.youtube.com/@idreammedia,iDream Media,5810000,19739,interviews
TRUE,shravani's kitchen,https://www.youtube.com/@shravaniskitchen,shravani's kitchen,5120000,1832,cooking
FALSE,Prasadtechintelugu,https://www.youtube.com/@prasadtechintelugu,Prasadtechintelugu,5040000,5098,vlogging
TRUE,Vismai Food,https://www.youtube.com/@vismaifood,Vismai Food,4930000,2172,cooking
FALSE,Shanmukh Jaswanth,https://www.youtube.com/@shanmukhjaswanth,Shanmukh Jaswanth,4870000,115,vlogging
FALSE,Bayya Sunny Yadav,https://www.youtube.com/@bayyasunnyyadav,Bayya Sunny Yadav,4690000,1192,vlogging
FALSE,Aye Jude,https://www.youtube.com/@ayejude,Aye Jude,4220000,1569,vlogging
FALSE,Munna bhai gaming,https://www.youtube.com/@munnabhaigaming,Munna bhai gaming,3880000,2427,gaming
TRUE,Amma Chethi Vanta,https://www.youtube.com/@ammachethivanta,Amma Chethi Vanta,3780000,1579,cooking
TRUE,Bangkok Pilla,https://www.youtube.com/@bangkokpilla,Bangkok Pilla,3780000,504,vlogging
FALSE,My Village Show,https://www.youtube.com/@myvillageshow,My Village Show,3140000,314,entertainment
TRUE,Good Health,https://www.youtube.com/@goodhealthh,Good Health,3090000,4285,health
TRUE,Vahchef - VahRehVah,https://www.youtube.com/@vahrehvah,Vahchef - VahRehVah,2520000,2350,cooking
TRUE,Mana Chef,https://www.youtube.com/@manachef,Mana Chef,2330000,2203,cooking
FALSE,Telugu badi (తెలుగుబడి),https://www.youtube.com/@telugubadi,Telugu badi (తెలుగుబడి),2330000,371,education
TRUE,Naa Anveshana,https://www.youtube.com/@naaanveshana,Naa Anveshana,2170000,1189,vlogging
FALSE,Money Purse { మనీ పర్స్ },https://www.youtube.com/@moneypurse,Money Purse { మనీ పర్స్ },2070000,2388,vlogging
FALSE,Mahathalli,https://www.youtube.com/@mahathalli,Mahathalli,2050000,713,vlogging
TRUE,My Country Foods,https://www.youtube.com/@mycountryfoods,My Country Foods,2020000,3208,cooking
TRUE,Lasya Talks,https://www.youtube.com/@lasyatalks,Lasya Talks,1930000,1393,vlogging
FALSE,Wirally,https://www.youtube.com/@wirally,Wirally,1800000,1534,entertainment
FALSE,V R Facts In Telugu,https://www.youtube.com/@vrrajafacts,V R Facts In Telugu,1720000,676,facts
FALSE,తెలుగు రైతుబడి,https://www.youtube.com/@rythubadi,తెలుగు రైతుబడి,1710000,1159,agriculture
FALSE,Warangal Diaries,https://www.youtube.com/@warangaldiaries,Warangal Diaries,1700000,499,entertainment
FALSE,Deepthi Sunaina,https://www.youtube.com/@deepthisunainaofficial,Deepthi Sunaina,1650000,16,entertainment
FALSE,SocialPost TV,https://www.youtube.com/@socialposttv,SocialPost TV,1570000,14199,interviews
TRUE,My Natural Food,https://www.youtube.com/@mynaturalfood,My Natural Food,1460000,491,cooking
FALSE,Pallavi prashanth,https://www.youtube.com/@pallaviprashanth5033,Pallavi prashanth,1430000,472,vlogging
TRUE,Uma Telugu Traveller,https://www.youtube.com/@umatelugutraveller,Uma Telugu Traveller,1420000,1007,vlogging
FALSE,Street Byte,https://www.youtube.com/@streetbyte,Street Byte,1260000,909,vlogging
FALSE,7 Arts,https://www.youtube.com/@7artsvideos,7 Arts,1210000,197,entertainment
FALSE,Chai Bisket,https://www.youtube.com/@chaibiskettelugu,Chai Bisket,1200000,937,entertainment
FALSE,Guddu Bhaiya,https://www.youtube.com/@guddubhaiya,Guddu Bhaiya,1200000,239,entertainment
FALSE,Sreemukhi,https://www.youtube.com/@sreemukhi,Sreemukhi,1100000,243,vlogging
FALSE,Planet Leaf,https://www.youtube.com/@planetleaf,Planet Leaf,1080000,1934,health_facts
FALSE,NAVEENA ** The Ultimate channel **,https://www.youtube.com/@naveenatheultimatechannel,NAVEENA ** The Ultimate channel **,1060000,1788,vlogging
TRUE,Sailaws Kitchen,https://www.youtube.com/@sailawskitchen,Sailaws Kitchen,1040000,2304,cooking
FALSE,Thyview,https://www.youtube.com/@thyview,Thyview,1020000,3316,entertainment
TRUE,Hyderabadi Ruchulu,https://www.youtube.com/@hyderabadiruchulu,Hyderabadi Ruchulu,1000000,1777,cooking
FALSE,Ravi Telugu Traveller,https://www.youtube.com/@ravitelugutraveller,Ravi Telugu Traveller,938000,1174,vlogging
TRUE,Tasty Teja,https://www.youtube.com/@tastytejaofficial,Tasty Teja,846000,729,food
FALSE,CAPDT,https://www.youtube.com/@capdt,CAPDT,761000,167,entertainment
TRUE,Flying Passport,https://www.youtube.com/@flyingpassport,Flying Passport,733000,451,travel
FALSE,Anchor Ravi,https://www.youtube.com/@anchorravi,Anchor Ravi,715000,242,vlogging
TRUE,Americalo Ammakutti,https://www.youtube.com/@americaloammakutti,Americalo Ammakutti,650000,1244,nri
FALSE,Manjula's Kitchen,https://www.youtube.com/@manjulaskitchen,Manjula's Kitchen,600000,813,cooking
FALSE,PREMA the Journalist,https://www.youtube.com/@premathejournalist,PREMA the Journalist,594000,2818,interviews
TRUE,Aadhan Food & Travel,https://www.youtube.com/@aadhanfoodandtravel,Aadhan Food & Travel,591000,2728,food
TRUE,iSmart Gowthami,https://www.youtube.com/@cookbookbygowthami,iSmart Gowthami,571000,1099,cooking
FALSE,301 Diaries,https://www.youtube.com/@301diaries,301 Diaries,569000,133,entertainment
FALSE,Mouli Talks,https://www.youtube.com/@moulitalks,Mouli Talks,568000,90,vlogging
FALSE,Nikhil Vijayendra Simha,https://www.youtube.com/@nikhiluuuuuuuuuuuu,Nikhil Vijayendra Simha,561000,309,entertainment
TRUE,Voice of Vasapitta,https://www.youtube.com/@voiceofvasapitta,Voice of Vasapitta,560000,1320,vlogging
